date,CAtotalcases,CAtotaldeaths,CAtotaltests,CAcurrenthospitalized,CA cases per person,MAtotalcases,MAtotaldeaths,MAtotaltests,MAcurrenthospitalized,MA cases per person
1,202,4,1118,0,5.11263E-06,8,0,1116,0,1.1606E-06
2,202,4,1118,0,5.11263E-06,23,0,2101,0,3.33672E-06
3,252,5,1168,0,6.37813E-06,38,0,3036,0,5.51284E-06
4,293,5,1209,0,7.41584E-06,64,0,4120,0,9.28478E-06
5,335,6,8316,0,8.47887E-06,97,0,6355,0,1.40722E-05
6,483,11,8464,0,1.22248E-05,118,0,9145,0,1.71188E-05
7,611,13,8592,0,1.54644E-05,156,2,12371,0,2.26317E-05
8,924,18,9711,0,2.33865E-05,229,3,15509,0,3.32221E-05
9,1063,20,11487,0,2.69046E-05,314,5,19384,0,4.55535E-05
10,1279,24,12528,0,3.23716E-05,426,7,22155,0,6.18018E-05
11,1536,27,12840,0,3.88762E-05,547,11,24257,0,7.93559E-05
12,1733,27,14300,0,4.38623E-05,678,17,28354,0,9.83607E-05
13,2102,40,15554,0,5.32017E-05,1060,26,32673,0,0.000153779
14,2355,53,18276,0,5.96052E-05,1739,33,37157,0,0.000252285
15,3006,65,20386,0,7.6082E-05,2318,42,41993,0,0.000336283
16,3879,78,21259,746,9.81777E-05,3151,57,46808,0,0.00045713
17,4643,101,25192,1034,0.000117515,4158,72,50010,0,0.000603221
18,5708,123,26257,1034,0.00014447,4856,99,52483,0,0.000704483
19,6447,133,26996,1432,0.000163174,5653,124,58064,0,0.000820107
20,7482,153,29254,1617,0.00018937,6521,153,63994,0,0.000946032
21,8155,171,29927,1855,0.000206403,7639,187,69570,0,0.001108226
22,9191,203,33000,1922,0.000232625,8867,229,75574,0,0.001286377
23,10701,237,35300,2188,0.000270843,10303,265,82141,0,0.001494705
24,12026,276,113700,2300,0.000304379,11637,304,86885,1370,0.001688234
25,13438,319,116533,2398,0.000340116,12402,370,90987,1632,0.001799217
26,14336,343,117431,2509,0.000362845,13739,448,98567,1667,0.001993181
27,15865,374,131229,2611,0.000401544,15104,515,106189,1831,0.002191208
28,16957,442,144264,2714,0.000429182,16692,615,114147,2119,0.002421587
29,18309,492,163500,2825,0.000463402,18843,725,121922,2302,0.002733643
30,19472,541,164863,2897,0.000492837,20878,832,130773,2435,0.00302887
31,20615,609,173219,5236,0.000521767,22766,946,136079,2507,0.003302771
32,21794,651,190328,5234,0.000551607,25381,1056,139881,2514,0.003682141
33,22348,687,190882,3015,0.000565629,26794,1211,147385,3485,0.003887132
34,23338,758,202208,5163,0.000590686,28109,1329,158730,3616,0.004077905
35,24424,821,216486,5163,0.000618173,29970,1502,170383,3637,0.004347889
36,26182,890,246400,5031,0.000662668,32492,1667,181089,3726,0.004713768
37,27528,985,251614,4892,0.000696735,35125,1822,194214,3756,0.005095749
38,28963,1072,259666,4936,0.000733055,37527,1983,201692,3728,0.005444219
